Time,price,volume
2012-01-11 00:00:00 UTC,6.9959259259,742.8883414743
2012-01-12 00:00:00 UTC,7.05525,594.2673424108
2012-01-13 00:00:00 UTC,6.8384876543,343.8915814354
2012-01-14 00:00:00 UTC,6.4222222222,108.4790419717
2012-01-15 00:00:00 UTC,7.15,119.400000005
2012-01-16 00:00:00 UTC,6.65,86.749999967
2012-01-17 00:00:00 UTC,6.4709090909,495.0785158417
2012-01-18 00:00:00 UTC,6.2607826087,821.8130020943
2012-01-19 00:00:00 UTC,6.27275,1539.457542663
2012-01-20 00:00:00 UTC,6.8208333333,647.2754909865
2012-01-21 00:00:00 UTC,6.41,518.2860608949
2012-01-22 00:00:00 UTC,6.5325,528.5572981874
2012-01-23 00:00:00 UTC,6.3935714286,608.6366223222
2012-01-24 00:00:00 UTC,6.460952381,549.9740662
2012-01-25 00:00:00 UTC,6.4602692308,505.9814228391
2012-01-26 00:00:00 UTC,5.9533333333,184.5617529436
2012-01-27 00:00:00 UTC,5.464,528.2138360129
2012-01-28 00:00:00 UTC,4.91,1.2275
2012-01-29 00:00:00 UTC,5.6458333333,52.2106680225
2012-01-30 00:00:00 UTC,5.51,83.9208
2012-01-31 00:00:00 UTC,5.6921428571,647.2156645383
2012-02-01 00:00:00 UTC,5.749,70.7630254687
2012-02-02 00:00:00 UTC,6.1722800454,1552.5589638994
2012-02-03 00:00:00 UTC,6.1942121212,961.100385799
2012-02-04 00:00:00 UTC,6.1220208333,408.0237040606
2012-02-05 00:00:00 UTC,5.8146166667,280.4126386495
2012-02-06 00:00:00 UTC,5.5157142857,161.848679316
2012-02-07 00:00:00 UTC,5.6290625,934.7652489212
2012-02-08 00:00:00 UTC,5.7403125,478.2163413485
2012-02-09 00:00:00 UTC,5.7433333333,482.8189928427
2012-02-10 00:00:00 UTC,5.8755555556,1040.0902099272
2012-02-11 00:00:00 UTC,5.605,10.374875338
2012-02-12 00:00:00 UTC,5.6375,371.291861708
2012-02-13 00:00:00 UTC,5.6956,571.3475082342
2012-02-14 00:00:00 UTC,5.072547619,663.7705644668
2012-02-15 00:00:00 UTC,4.9586111111,335.7904455208
2012-02-16 00:00:00 UTC,4.5899025974,531.1844458387
2012-02-17 00:00:00 UTC,4.7010428571,1148.8832590078
2012-02-18 00:00:00 UTC,4.3709,1124.5514254287
2012-02-19 00:00:00 UTC,4.3433333333,400.7284115488
2012-02-20 00:00:00 UTC,4.5173831169,1440.844389189
2012-02-21 00:00:00 UTC,4.4912142857,1596.0493125446
2012-02-22 00:00:00 UTC,4.5334285714,341.4778825521
2012-02-23 00:00:00 UTC,4.8896371653,3514.1192138267
2012-02-24 00:00:00 UTC,5.1222222222,193.3042471992
2012-02-25 00:00:00 UTC,5.0573333333,601.2634817824
2012-02-26 00:00:00 UTC,4.9625,201.347
2012-02-27 00:00:00 UTC,5.0465514706,1562.9405669468
2012-02-28 00:00:00 UTC,4.9916789216,2209.2353445856
2012-02-29 00:00:00 UTC,4.9670138889,1198.357322123
2012-03-01 00:00:00 UTC,5.0118915344,1456.4398450548
2012-03-02 00:00:00 UTC,4.7947811448,1167.6868222286
2012-03-03 00:00:00 UTC,4.7785,591.3400675079
2012-03-04 00:00:00 UTC,4.7955,544.9269946849
2012-03-05 00:00:00 UTC,4.9374040179,2571.308929042
2012-03-06 00:00:00 UTC,5.0052205882,1481.5601929232
2012-03-07 00:00:00 UTC,5.0492747934,1892.1464731778
2012-03-08 00:00:00 UTC,4.9796611111,1622.5478963783
2012-03-09 00:00:00 UTC,5.0228571429,1395.320254095
2012-03-10 00:00:00 UTC,4.9295555556,554.4124631066
2012-03-11 00:00:00 UTC,4.9266666667,120.9774262756
2012-03-12 00:00:00 UTC,4.9552040816,538.6198396838
2012-03-13 00:00:00 UTC,5.1340505952,3715.4530050217
2012-03-14 00:00:00 UTC,5.3618447174,6063.1489054722
2012-03-15 00:00:00 UTC,5.3422222222,3390.5448539636
2012-03-16 00:00:00 UTC,5.3192857143,843.2641704105
2012-03-17 00:00:00 UTC,5.4025,775.7207260093
2012-03-18 00:00:00 UTC,5.3338888889,2202.5699574228
2012-03-19 00:00:00 UTC,5.1204409722,2106.8488333271
2012-03-20 00:00:00 UTC,4.8986481481,1370.6700858169
2012-03-21 00:00:00 UTC,4.9366666667,46.0523319781
2012-03-22 00:00:00 UTC,4.8635809524,1931.1159554639
2012-03-23 00:00:00 UTC,4.76225,1831.8960473573
2012-03-24 00:00:00 UTC,4.7325,920.8040000156
2012-03-25 00:00:00 UTC,4.6788888889,71.0547914708
2012-03-26 00:00:00 UTC,4.625,295.7060762663
2012-03-27 00:00:00 UTC,4.7511055556,1766.7488997546
2012-03-28 00:00:00 UTC,4.8552777778,2030.497433652
2012-03-29 00:00:00 UTC,4.8336029412,534.7032118766
2012-03-30 00:00:00 UTC,4.8441496599,784.2072785974
2012-03-31 00:00:00 UTC,4.9067724868,777.3521027228
2012-04-01 00:00:00 UTC,4.8260972222,1479.9285941817
2012-04-02 00:00:00 UTC,4.9142002165,4391.3573744685
2012-04-03 00:00:00 UTC,4.9664166667,1214.9963966012
2012-04-04 00:00:00 UTC,4.9351683502,1505.252516864
2012-04-05 00:00:00 UTC,4.9419285714,1988.9386027217
2012-04-06 00:00:00 UTC,4.9370238095,3553.0098102877
2012-04-07 00:00:00 UTC,4.8369384319,1098.7343764419
2012-04-08 00:00:00 UTC,4.75703125,842.2857479353
2012-04-09 00:00:00 UTC,4.7753777778,756.728087288
2012-04-10 00:00:00 UTC,4.820462963,1514.5461970351
2012-04-11 00:00:00 UTC,4.850756993,2072.6975482051
2012-04-12 00:00:00 UTC,4.875494281,3677.080826441
2012-04-13 00:00:00 UTC,4.8936411081,5395.1704574049
2012-04-14 00:00:00 UTC,4.9719727891,2708.2978998232
2012-04-15 00:00:00 UTC,4.9512261905,569.8278931179
2012-04-16 00:00:00 UTC,4.9624242424,2415.4701490775
2012-04-17 00:00:00 UTC,4.985,1407.3817820282
2012-04-18 00:00:00 UTC,5.0993488563,4290.1264992313
2012-04-19 00:00:00 UTC,5.130726801,2878.3672104937
2012-04-20 00:00:00 UTC,5.1844450549,1927.1515209616
2012-04-21 00:00:00 UTC,5.2857222222,1587.1469692148
2012-04-22 00:00:00 UTC,5.2049603175,726.6612287261
2012-04-23 00:00:00 UTC,5.1690681788,4874.3406894583
2012-04-24 00:00:00 UTC,5.0905160638,10041.2434226101
2012-04-25 00:00:00 UTC,5.0875084625,8217.8158655025
2012-04-26 00:00:00 UTC,5.0639929453,3832.9491065091
2012-04-27 00:00:00 UTC,5.0314102564,3597.6521640056
2012-04-28 00:00:00 UTC,4.950910792,1016.8752959407
2012-04-29 00:00:00 UTC,4.9050505907,306.8957139399
2012-04-30 00:00:00 UTC,4.9443785842,2415.6279694291
2012-05-01 00:00:00 UTC,4.9639577254,4134.6800519696
2012-05-02 00:00:00 UTC,5.0967673873,2518.358754141
2012-05-03 00:00:00 UTC,5.1006859513,3292.5461039405
2012-05-04 00:00:00 UTC,5.1096075619,3968.8499380769
2012-05-05 00:00:00 UTC,5.0690263158,2102.9971316839
2012-05-06 00:00:00 UTC,5.0693285876,6243.15878333
2012-05-07 00:00:00 UTC,5.0392793631,4404.2021734157
2012-05-08 00:00:00 UTC,5.0452773357,3229.9979013854
2012-05-09 00:00:00 UTC,5.0426754535,1765.1372099198
2012-05-10 00:00:00 UTC,5.0032657952,4526.3645601796
2012-05-11 00:00:00 UTC,4.9265263605,2037.8796025034
2012-05-12 00:00:00 UTC,4.9548214286,1081.2935929203
2012-05-13 00:00:00 UTC,4.94375,1954.259110405
2012-05-14 00:00:00 UTC,4.9301914284,3539.9375749611
2012-05-15 00:00:00 UTC,4.9711358616,2987.3505100214
2012-05-16 00:00:00 UTC,5.0205493827,892.5713749993
2012-05-17 00:00:00 UTC,5.0233796296,3070.7758735212
2012-05-18 00:00:00 UTC,5.0494494949,4603.6503174164
2012-05-19 00:00:00 UTC,5.0633333333,851.5644531924
2012-05-20 00:00:00 UTC,5.054,133.9258404407
2012-05-21 00:00:00 UTC,5.0478246753,1791.7055218444
2012-05-22 00:00:00 UTC,5.0538688406,3422.0980223854
2012-05-23 00:00:00 UTC,5.067193793,2827.7742386316
2012-05-24 00:00:00 UTC,5.0895653399,4608.6760723282
2012-05-25 00:00:00 UTC,5.0896091731,1398.3955278345
2012-05-26 00:00:00 UTC,5.0767857143,1977.8774214067
2012-05-27 00:00:00 UTC,5.0637062937,4613.3768623196
2012-05-28 00:00:00 UTC,5.0772727273,917.6896741242
2012-05-29 00:00:00 UTC,5.0762466664,6798.8286022007
2012-05-30 00:00:00 UTC,5.111929279,3831.6691655521
2012-05-31 00:00:00 UTC,5.1377135571,5660.2502994533
2012-06-01 00:00:00 UTC,5.2019192578,2467.1772142986
2012-06-02 00:00:00 UTC,5.1922619048,999.5051230476
2012-06-03 00:00:00 UTC,5.1928571429,74.4401402434
2012-06-04 00:00:00 UTC,5.1991394458,7049.2414068719
2012-06-05 00:00:00 UTC,5.3493785469,4984.3449161844
2012-06-06 00:00:00 UTC,5.4208468315,4189.1353851873
2012-06-07 00:00:00 UTC,5.4642684771,7731.6992641007
2012-06-08 00:00:00 UTC,5.5829151704,7779.767986859
2012-06-09 00:00:00 UTC,5.5590272325,1967.5854943326
2012-06-10 00:00:00 UTC,5.4932987178,1479.7568917076
2012-06-11 00:00:00 UTC,5.4896662103,3649.6264793743
2012-06-12 00:00:00 UTC,5.6411884476,54551.657227565
2012-06-13 00:00:00 UTC,5.8603661059,9906.2560703375
2012-06-14 00:00:00 UTC,5.8416648396,18880.1291044885
2012-06-15 00:00:00 UTC,5.9551670226,11958.3301554084
2012-06-16 00:00:00 UTC,6.4052403421,6427.704093119
2012-06-17 00:00:00 UTC,6.3384160142,2666.7336599847
2012-06-18 00:00:00 UTC,6.1610851654,15255.0857379128
2012-06-19 00:00:00 UTC,6.3966421792,8905.0292143414
2012-06-20 00:00:00 UTC,6.5128518846,13582.4181002008
2012-06-21 00:00:00 UTC,6.6601205376,3201.7333684847
2012-06-22 00:00:00 UTC,6.616647334,6369.1109802084
2012-06-23 00:00:00 UTC,6.4951339113,7323.908177398
2012-06-24 00:00:00 UTC,6.3883267196,3826.9161901358
2012-06-25 00:00:00 UTC,6.2336163271,12228.2020276848
2012-06-26 00:00:00 UTC,6.3498580701,14452.776755687
2012-06-27 00:00:00 UTC,6.46434549,73336.0270936546
2012-06-28 00:00:00 UTC,6.4685179415,27077.1146286319
2012-06-29 00:00:00 UTC,6.5429211474,52969.9983548587
2012-06-30 00:00:00 UTC,6.5676477354,5420.2602257709
2012-07-01 00:00:00 UTC,6.5704685315,2180.6222751094
2012-07-02 00:00:00 UTC,6.6014436373,11818.4676586843
2012-07-03 00:00:00 UTC,6.557261687,12700.8751808843
2012-07-04 00:00:00 UTC,6.5045751176,13057.2867307529
2012-07-05 00:00:00 UTC,6.6300863483,9297.2342569154
2012-07-06 00:00:00 UTC,6.5593308496,10847.1723083717
2012-07-07 00:00:00 UTC,6.63518237,9389.8455447302
2012-07-08 00:00:00 UTC,6.7019252319,5495.0077897891
2012-07-09 00:00:00 UTC,6.8069780687,11913.5543276392
2012-07-10 00:00:00 UTC,7.0359883004,10509.69562602
2012-07-11 00:00:00 UTC,7.1049196766,5343.7298944077
2012-07-12 00:00:00 UTC,7.1494220852,16696.2552447391
2012-07-13 00:00:00 UTC,7.5802796143,9143.1885652771
2012-07-14 00:00:00 UTC,7.5366558352,5407.8777938363
2012-07-15 00:00:00 UTC,7.5058132664,2420.0171757531
2012-07-16 00:00:00 UTC,7.7012501188,28137.0360115553
2012-07-17 00:00:00 UTC,8.2497104618,29979.9529049101
2012-07-18 00:00:00 UTC,8.816019065,22833.0206210107
2012-07-19 00:00:00 UTC,9.0290622185,22749.0729533723
2012-07-20 00:00:00 UTC,8.2688431881,11289.9418593063
2012-07-21 00:00:00 UTC,8.6709964185,20576.1682707509
2012-07-22 00:00:00 UTC,8.6669322344,12665.0251284643
2012-07-23 00:00:00 UTC,8.6497544346,22235.9748614853
2012-07-24 00:00:00 UTC,8.5788102851,11140.1331867353
2012-07-25 00:00:00 UTC,8.497127631,15299.2942125677
2012-07-26 00:00:00 UTC,8.616237639,7220.2600255623
2012-07-27 00:00:00 UTC,8.8395076269,6094.1025506553
2012-07-28 00:00:00 UTC,8.8545318145,13347.8262641995
2012-07-29 00:00:00 UTC,8.7377330447,5157.1922108073
2012-07-30 00:00:00 UTC,8.7817750719,21094.5062686982
2012-07-31 00:00:00 UTC,9.1831572017,12150.3275795925
